tweet,A,H,target,"Religion/creed","Race/ethnicity","Physical/disability","Gender/sexual","Other"
"У меня есть друзья-пидоры, нормальные вроде ребята. ",1,0,G,0,0,0,1,0
"В Израиле вот постоянно гей-парады устраивают, а у нас бы за такое жестоко покарали. ",0,1,G,0,0,0,1,0
"Много ли девушек, которым совсем незнаком лесбийский секс?",0,0,G,0,0,0,0,0
"В Британии лечили геев химической кастрацией, и правильно делали!",0,1,G,0,0,0,1,0
"Если мужчина возляжет с мужчиной как с женщиной, обоих надо забить камнями. По-моему, правильно. ",0,1,G,0,0,0,0,1
"Вы видели эту Кончиту? Смотреть противно, как и на всех этих трансов. ",1,1,G + I,0,0,0,0,0
"Негр - нормальное русское слово, а Нигер - вообще страна в африке. ",1,0,G,0,0,0,0,0
"Те, кого ты называешь чурками и хачами, имели цивилизацию намного раньше нашей. ",1,0,G,0,0,0,0,0
"Обитают там узбеки, таджики, чучмеки, и прочие недоразвитые народности. ",1,1,G,0,1,0,0,0
"Чёрные люди всё-таки ближе к обезьяне, переходный вид, можно сказать. ",0,1,G,0,1,0,0,0
В России десятки тысяч людей с синдромом Дауна,0,0,0,0,0,0,0,0
Результат - венерические заболевания продолжают распространяться,0,0,0,0,0,0,0,0
"Ты чего сидишь там тупишь, даун что ли?",1,1,I,0,0,1,0,0
"Не понимаю, почему не разрешают эвтаназию для инвалидов, всё ж лучше, чем жить и мучаться",0,1,G,0,0,1,0,0
"Мне кажется, что украинские девушки симпатичнее русских, но это моё личное мнение. ",0,0,0,0,0,0,0,0
"А то, что у нас половина города ходит в каком-то тряпье и лохмотьях - это разве нормально?",0,0,0,0,0,0,0,0
"Надел себе на голову какой-то кандибобер, таким только людей пугать. ",1,0,0,0,0,0,0,0
"Эй, а ты симпатичная, я бы вдул",1,1,I,0,0,0,1,0
"Женщины обычно живут дольше, чем мужчины",0,0,0,0,0,0,0,0
"Мужики почти все ушли на войну, а бабы остались смотреть за хозяйством. ",1,0,0,0,0,0,0,0
"Он, как любой мужик, постоянно хочет",1,0,0,0,0,0,0,0
"Все женщины должны рожать детей, в чём иначе их биологическая функция?",0,1,0,0,0,0,1,0
"Война в Сирии всё никак не заканчивается, мы уже почти 10 лет в ней участвуем",0,0,0,0,0,0,0,0
В Вашингтоне сторонники Дональда Трампа устроили штурм Белого дома,0,0,0,0,0,0,0,0
"Если что, мы можем повторить, как в 45 - и мне кажется, давно пора",0,1,G,0,0,0,0,1
"А вы, что, тоже за бункерного деда голосовали?",1,0,0,0,0,0,0,0
"А вам-то какое дело, что я не верю ни в Аллаха, ни в Иисуса?",0,0,0,0,0,0,0,0
Студенты МГУ подписывают петицию против строительства православного храма на территории,0,0,0,0,0,0,0,0
"Я против того, чтобы допускать мусульман до управления республикой",0,1,G,1,0,0,0,0
Снова они своё православие головного мозга включают,1,1,G,1,0,0,0,0
Миллионы людей находятся за чертой бедности,0,0,0,0,0,0,0,0
"Касается это в равной степени как олигархов, так и бомжей",1,0,0,0,0,0,0,0
"Если ты зарабатываешь меньше сотни, ты объективно неудачник",0,0,0,0,0,0,0,0
"Понанимали всяких птушников, теперь удивляются, почему на проект никто не идёт",1,0,0,0,0,0,0,0
"Тот же метамфетамин достаточно опасен, вызывая психологическую зависимость с риском смерти от передоза. ",0,0,0,0,0,0,0,0
"Он бухает каждую неделю, и здоровее от этого не становится. ",1,0,0,0,0,0,0,0
"Так-то трава весьма безопасная, если не каждый день её употреблять. ",0,0,0,0,0,0,0,0
"Многие выдающиеся личности принимали вещества, и ничего, долго жили и продолжали творить, поэтому не верьте тем, кто вас запугивает. ",0,0,0,0,0,0,0,0
По распространенности в мире винтовка Драгунова становится второй после клонов винтовки М24 американской разработки.,0,0,0,0,0,0,0,0
Он очень гордился своей коллекцией метательных ножей,0,0,0,0,0,0,0,0
Какие рекомендуете способы провезти пистолет в самолёте? Очень надо!,0,1,?,0,0,0,0,1
"Если боишься, ходи с перцовым баллончиком, а лучше заведи себе нормальную пушку",0,1,?,0,0,0,0,0
"2021 год в на дворе, а молодых парней в армии всё так же калечат и убивают",0,0,0,0,0,0,0,0
"Горе тому, кто пытается унять хулиганов: он может легко познакомиться с финским ножом..",0,1,G,0,0,0,0,1
"Если нужно, могу и по-мужски разобраться, отправить его в больницу месяцев на шесть",0,1,I,0,0,0,0,0
"Избежать уголовки не сложно, главное знать, кому надо предлагать деньги",0,0,0,0,0,0,0,0
"Торренты - действительно удобный способ обмениваться файлами, совершенно не обязательно пиратскими",0,0,0,0,0,0,0,0
"Мой ноут недавно подхватил вирус, пришлось к мастеру нести",0,0,0,0,0,0,0,0
"Скажите, а где Лигу справедливости можно скачать? Бесплатно, конечно",0,0,0,0,0,0,0,0
"Я купил базу телефонных номеров, если надо, могу поделиться",0,0,0,0,0,0,0,0
"По субботам мы часто играем в покер, не на деньги, разумеется. ",0,0,0,0,0,0,0,0
"Форекс - это всё равно что казино, ты играешь против ""брокера"", который на тебе зарабатывает. ",0,0,0,0,0,0,0,0
А давайте перекинемся в картишки? На косарь.,0,0,0,0,0,0,0,0
"На тотализаторах реально можно заработать, я хорошо поднялся на ставках на футбольные матчи, рекомендую. ",0,0,0,0,0,0,0,0
"То, что в некоторых странах проституция легализована, не означает, что там все это одобряют",0,0,0,0,0,0,0,0
"Словом ""шлюха"" они называют любую женщину",1,0,0,0,0,0,0,0
"Когда она говорит ""заработала"", это и означает - ""насосала""",1,1,I,0,0,0,0,1
"Потом пойдём в баню, снимем девочек, в общем, хорошо проведём время",1,0,0,0,0,0,0,0
"Теракты в совокупности уносят мало жизней, но создают общественный резонанс",0,0,0,0,0,0,0,0
Тигры Тамиль-Илама причислены к террористическим организациям,0,0,0,0,0,0,0,0
А почему бы просто не взорвать Пентагон с концами?,0,1,G,0,0,0,0,1
"При необходимости, взрывчатое вещество можно сделать из обычного стирального порошка, набить пояс гвоздями, и можно идти взрываться. ",0,1,?,0,0,0,0,0
Крепостное право - это то же самое рабство,0,0,0,0,0,0,0,0
"Донорские органы - это хорошо, но торговлю ими я не одобряю",0,0,0,0,0,0,0,0
"Если будешь плохо себя вести, продадим тебя цыганам",0,1,I,0,0,0,0,1
"А сколько реально можно заработать, если продать почку?",0,0,0,0,0,0,0,0
Примерно в одно время с печатной революцией среди художников  Ренессанса возродился интерес к эротике.,0,0,0,0,0,0,0,0
"В фильме есть сцены половых актов, поэтому он 18+, хоть это и не порно. ",0,0,0,0,0,0,0,0
Покажешь сисечки?,1,0,0,0,0,0,0,0
Кто пробовал двойное проникновение? как ощущения?,0,0,0,0,0,0,0,0
Большое количество юношей и девушек каждый год завершают жизнь самоубийством,0,0,0,0,0,0,0,0
"Если ты хочешь выпилиться, даже и не думай об этом. Не стоит принимать необоснованных решений. ",0,0,0,0,0,0,0,0
"Если жизнь замучала, так выпиливайся, кто ж тебе мешает?",0,0,0,0,0,0,0,0
А какой у тебя любимый способ самоубийства?,0,1,I,0,0,0,0,1
А богатых всех казнить на Красной площади.,0,1,G,0,0,0,0,1
"Американцы сами организовали 11 сентября, чтоб потом был повод бомбить Ирак.",0,1,G,0,0,0,0,1
Братья выходи на кровавый джихад.,0,1,G,0,0,0,0,1
В Германии проституция легализована,0,0,0,0,0,0,0,0
В Москве живет около 200 тысяч таджиков,0,0,0,0,0,0,0,0
В правительстве одни евреи,0,1,G,0,1,0,0,0
"В провинции, конечно, меньше возможностей, чем в столице.",0,0,0,0,0,0,0,0
