number,tweet,target,cat_1,cat_2,cat_3,cat_4,cat_5,level
1,"У меня есть друзья-пидоры, нормальные вроде ребята. ",0,0,0,0,0,0,0
2,"В Израиле вот постоянно гей-парады устраивают, а у нас бы за такое жестоко покарали. ",0,0,0,0,0,0,0
3,"Много ли девушек, которым совсем незнаком лесбийский секс?",0,0,0,0,0,0,0
4,"В Британии лечили геев химической кастрацией, и правильно делали!",1,0,0,0,0,0,0
5,"Если мужчина возляжет с мужчиной как с женщиной, обоих надо забить камнями. По-моему, правильно. ",1,0,0,0,0,0,0
6,"Вы видели эту Кончиту? Смотреть противно, как и на всех этих трансов. ",1,0,0,0,0,0,0
7,"Негр - нормальное русское слово, а Нигер - вообще страна в африке. ",0,0,0,0,0,0,0
8,"Те, кого ты называешь чурками и хачами, имели цивилизацию намного раньше нашей. ",0,0,0,0,0,0,0
9,"Обитают там узбеки, таджики, чучмеки, и прочие недоразвитые народности. ",1,0,0,0,0,0,0
10,"Чёрные люди всё-таки ближе к обезьяне, переходный вид, можно сказать. ",1,0,0,0,0,0,0
11,В России десятки тысяч людей с синдромом Дауна,0,0,0,0,0,0,0
12,Результат - венерические заболевания продолжают распространяться,0,0,0,0,0,0,0
13,"Ты чего сидишь там тупишь, даун что ли?",1,0,0,0,0,0,0
14,"Не понимаю, почему не разрешают эвтаназию для инвалидов, всё ж лучше, чем жить и мучаться",1,0,0,0,0,0,0
15,"Мне кажется, что украинские девушки симпатичнее русских, но это моё личное мнение. ",0,0,0,0,0,0,0
16,"А то, что у нас половина города ходит в каком-то тряпье и лохмотьях - это разве нормально?",0,0,0,0,0,0,0
17,"Надел себе на голову какой-то кандибобер, таким только людей пугать. ",1,0,0,0,0,0,0
18,"Эй, а ты симпатичная, я бы вдул",1,0,0,0,0,0,0
19,"Женщины обычно живут дольше, чем мужчины",0,0,0,0,0,0,0
20,"Мужики почти все ушли на войну, а бабы остались смотреть за хозяйством. ",0,0,0,0,0,0,0
21,"Он, как любой мужик, постоянно хочет",1,0,0,0,0,0,0
22,"Все женщины должны рожать детей, в чём иначе их биологическая функция?",1,0,0,0,0,0,0
23,"Война в Сирии всё никак не заканчивается, мы уже почти 10 лет в ней участвуем",0,0,0,0,0,0,0
24,В Вашингтоне сторонники Дональда Трампа устроили штурм Белого дома,0,0,0,0,0,0,0
25,"Если что, мы можем повторить, как в 45 - и мне кажется, давно пора",1,0,0,0,0,0,0
26,"А вы, что, тоже за бункерного деда голосовали?",1,0,0,0,0,0,0
27,"А вам-то какое дело, что я не верю ни в Аллаха, ни в Иисуса?",0,0,0,0,0,0,0
28,Студенты МГУ подписывают петицию против строительства православного храма на территории,0,0,0,0,0,0,0
29,"Я против того, чтобы допускать мусульман до управления республикой",1,0,0,0,0,0,0
30,Снова они своё православие головного мозга включают,1,0,0,0,0,0,0
31,Миллионы людей находятся за чертой бедности,0,0,0,0,0,0,0
32,"Касается это в равной степени как олигархов, так и бомжей",0,0,0,0,0,0,0
33,"Если ты зарабатываешь меньше сотни, ты объективно неудачник",1,0,0,0,0,0,0
34,"Понанимали всяких птушников, теперь удивляются, почему на проект никто не идёт",1,0,0,0,0,0,0
